cut,series,window,issue,n_mismatch,sample_months,len_common
D0,PA,20Y,value_mismatch,240,"2006-02,2006-03,2006-04,2006-05,2006-06",241
D0,PA,15Y,value_mismatch,181,"2011-02,2011-03,2011-04,2011-05,2011-06",181
D0,PA,10Y,value_mismatch,120,"2016-02,2016-03,2016-04,2016-05,2016-06",121
D0,PA,5Y,value_mismatch,61,"2021-02,2021-03,2021-04,2021-05,2021-06",61
D0,PB,20Y,value_mismatch,240,"2006-02,2006-03,2006-04,2006-05,2006-06",241
D0,PB,15Y,value_mismatch,181,"2011-02,2011-03,2011-04,2011-05,2011-06",181
D0,PB,10Y,value_mismatch,121,"2016-02,2016-03,2016-04,2016-05,2016-06",121
D0,PB,5Y,value_mismatch,61,"2021-02,2021-03,2021-04,2021-05,2021-06",61
D0,PC,20Y,value_mismatch,241,"2006-02,2006-03,2006-04,2006-05,2006-06",241
D0,PC,15Y,value_mismatch,181,"2011-02,2011-03,2011-04,2011-05,2011-06",181
D0,PC,10Y,value_mismatch,120,"2016-02,2016-03,2016-04,2016-05,2016-06",121
D0,PC,5Y,value_mismatch,61,"2021-02,2021-03,2021-04,2021-05,2021-06",61
D0,CDI,20Y,value_mismatch,1,2006-02,241
D0,CDI,15Y,value_mismatch,1,2011-02,181
D0,CDI,10Y,value_mismatch,1,2016-02,121
D0,CDI,5Y,value_mismatch,1,2021-02,61
D0,IBOV,20Y,value_mismatch,1,2006-02,241
D0,IBOV,15Y,value_mismatch,1,2011-02,181
D0,IBOV,10Y,value_mismatch,1,2016-02,121
D0,IBOV,5Y,value_mismatch,1,2021-02,61
D0,SP500_PR,20Y,value_mismatch,1,2006-02,241
D0,SP500_PR,15Y,value_mismatch,1,2011-02,181
D0,SP500_PR,10Y,value_mismatch,1,2016-02,121
D0,SP500_PR,5Y,value_mismatch,1,2021-02,61
D0,SP500_TR,20Y,value_mismatch,1,2006-02,241
D0,SP500_TR,15Y,value_mismatch,1,2011-02,181
D0,SP500_TR,10Y,value_mismatch,1,2016-02,121
D0,SP500_TR,5Y,value_mismatch,1,2021-02,61
D6M,PA,20Y,value_mismatch,240,"2005-08,2005-09,2005-10,2005-11,2005-12",241
D6M,PA,15Y,value_mismatch,181,"2010-08,2010-09,2010-10,2010-11,2010-12",181
D6M,PA,10Y,value_mismatch,121,"2015-08,2015-09,2015-10,2015-11,2015-12",121
D6M,PA,5Y,value_mismatch,61,"2020-08,2020-09,2020-10,2020-11,2020-12",61
D6M,PB,20Y,value_mismatch,241,"2005-08,2005-09,2005-10,2005-11,2005-12",241
D6M,PB,15Y,value_mismatch,181,"2010-08,2010-09,2010-10,2010-11,2010-12",181
D6M,PB,10Y,value_mismatch,121,"2015-08,2015-09,2015-10,2015-11,2015-12",121
D6M,PB,5Y,value_mismatch,61,"2020-08,2020-09,2020-10,2020-11,2020-12",61
D6M,PC,20Y,value_mismatch,239,"2005-08,2005-09,2005-10,2005-11,2005-12",241
D6M,PC,15Y,value_mismatch,181,"2010-08,2010-09,2010-10,2010-11,2010-12",181
D6M,PC,10Y,value_mismatch,121,"2015-08,2015-09,2015-10,2015-11,2015-12",121
D6M,PC,5Y,value_mismatch,61,"2020-08,2020-09,2020-10,2020-11,2020-12",61
D6M,CDI,20Y,value_mismatch,1,2005-08,241
D6M,CDI,15Y,value_mismatch,1,2010-08,181
D6M,CDI,10Y,value_mismatch,1,2015-08,121
D6M,CDI,5Y,value_mismatch,1,2020-08,61
D6M,IBOV,20Y,value_mismatch,1,2005-08,241
D6M,IBOV,15Y,value_mismatch,1,2010-08,181
D6M,IBOV,10Y,value_mismatch,1,2015-08,121
D6M,IBOV,5Y,value_mismatch,1,2020-08,61
D6M,SP500_PR,20Y,value_mismatch,1,2005-08,241
D6M,SP500_PR,15Y,value_mismatch,1,2010-08,181
D6M,SP500_PR,10Y,value_mismatch,1,2015-08,121
D6M,SP500_PR,5Y,value_mismatch,1,2020-08,61
D6M,SP500_TR,20Y,value_mismatch,1,2005-08,241
D6M,SP500_TR,15Y,value_mismatch,1,2010-08,181
D6M,SP500_TR,10Y,value_mismatch,1,2015-08,121
D6M,SP500_TR,5Y,value_mismatch,1,2020-08,61
D12M,PA,20Y,value_mismatch,240,"2005-02,2005-03,2005-04,2005-05,2005-06",241
D12M,PA,15Y,value_mismatch,181,"2010-02,2010-03,2010-04,2010-05,2010-06",181
D12M,PA,10Y,value_mismatch,121,"2015-02,2015-03,2015-04,2015-05,2015-06",121
D12M,PA,5Y,value_mismatch,61,"2020-02,2020-03,2020-04,2020-05,2020-06",61
D12M,PB,20Y,value_mismatch,241,"2005-02,2005-03,2005-04,2005-05,2005-06",241
D12M,PB,15Y,value_mismatch,181,"2010-02,2010-03,2010-04,2010-05,2010-06",181
D12M,PB,10Y,value_mismatch,121,"2015-02,2015-03,2015-04,2015-05,2015-06",121
D12M,PB,5Y,value_mismatch,61,"2020-02,2020-03,2020-04,2020-05,2020-06",61
D12M,PC,20Y,value_mismatch,241,"2005-02,2005-03,2005-04,2005-05,2005-06",241
D12M,PC,15Y,value_mismatch,181,"2010-02,2010-03,2010-04,2010-05,2010-06",181
D12M,PC,10Y,value_mismatch,120,"2015-02,2015-03,2015-04,2015-05,2015-06",121
D12M,PC,5Y,value_mismatch,61,"2020-02,2020-03,2020-04,2020-05,2020-06",61
D12M,CDI,20Y,value_mismatch,1,2005-02,241
D12M,CDI,15Y,value_mismatch,1,2010-02,181
D12M,CDI,10Y,value_mismatch,1,2015-02,121
D12M,CDI,5Y,value_mismatch,1,2020-02,61
D12M,IBOV,20Y,value_mismatch,1,2005-02,241
D12M,IBOV,15Y,value_mismatch,1,2010-02,181
D12M,IBOV,10Y,value_mismatch,1,2015-02,121
D12M,IBOV,5Y,value_mismatch,1,2020-02,61
D12M,SP500_PR,20Y,value_mismatch,1,2005-02,241
D12M,SP500_PR,15Y,value_mismatch,1,2010-02,181
D12M,SP500_PR,10Y,value_mismatch,1,2015-02,121
D12M,SP500_PR,5Y,value_mismatch,1,2020-02,61
D12M,SP500_TR,20Y,value_mismatch,1,2005-02,241
D12M,SP500_TR,15Y,value_mismatch,1,2010-02,181
D12M,SP500_TR,10Y,value_mismatch,1,2015-02,121
D12M,SP500_TR,5Y,value_mismatch,1,2020-02,61
