seed,report_id,pdf_file,cut_snapshot,window_label,years,sheet_series,pdf_pages,pdf_start_date,pdf_end_date,sheet_start_date,sheet_end_date,pass_dates,pdf_total_return_pct,sheet_total_return_pct,diff_total_pp,pass_total,pdf_cagr_pct,sheet_cagr_pct,diff_cagr_pp,pass_cagr,pdf_worst_month_pct,sheet_worst_month_pct,diff_worst_pp,pass_worst_month,pdf_volatility_pct_platform,sheet_vol_ann_pct,pdf_sharpe_platform,sheet_sharpe_excess_cdi,portfolio_comp_pass,portfolio_comp_missing,portfolio_comp_extras,overall_pass
20260214,REL_IND_D0_CDI_5Y,REL_IND_D0_CDI_5Y.pdf,D0,5Y,4.999315537303217,CDI,4,10/02/2021,10/02/2026,10/02/2021,10/02/2026,True,70.34,70.34,0.0,True,11.27,11.27,0.0,True,0.07,0.07,0.0,True,0.2,1.010329275979687,0.0,0.0,,,,True
20260214,REL_IND_D0_IBOV_5Y,REL_IND_D0_IBOV_5Y.pdf,D0,5Y,4.999315537303217,IBOV,4,10/02/2021,10/02/2026,10/02/2021,10/02/2026,True,56.99,56.99000000000001,-7.105427357601002e-15,True,9.53,9.53,0.0,True,-11.5,-11.5,0.0,True,17.68,17.571576041726132,-0.1,-0.00643798437944795,,,,True
20260214,REL_IND_D0_PB_5Y,REL_IND_D0_PB_5Y.pdf,D0,5Y,4.999315537303217,PB,5,10/02/2021,10/02/2026,10/02/2021,10/02/2026,True,154.18,154.18,0.0,True,20.73,20.73,0.0,True,-9.89,-9.89,0.0,True,17.46,17.3694931171736,0.54,0.5478473907420652,,,,True
20260214,REL_IND_D0_CDI_25Y,REL_IND_D0_CDI_25Y.pdf,D0,25Y,24.99383983572895,CDI,3,12/02/2001,10/02/2026,12/02/2001,10/02/2026,True,1559.3,1559.3,0.0,True,11.93,11.93,0.0,True,0.13,0.13,0.0,True,0.27,1.2837762403222561,-0.0,0.0,,,,True
20260214,REL_IND_D0_IBOV_25Y,REL_IND_D0_IBOV_25Y.pdf,D0,25Y,24.99383983572895,IBOV,3,12/02/2001,10/02/2026,12/02/2001,10/02/2026,True,999.07,999.07,0.0,True,10.24,10.24,0.0,True,-29.9,-29.9,0.0,True,26.69,23.24756270667238,-0.07,0.04644485346034145,,,,True
20260214,REL_IND_D0_PB_25Y,REL_IND_D0_PB_25Y.pdf,D0,25Y,24.99383983572895,PB,5,12/02/2001,10/02/2026,12/02/2001,10/02/2026,True,4743.32,4743.32,0.0,True,17.09,17.09,0.0,True,-27.44,-27.439999999999998,-3.552713678800501e-15,True,24.18,22.57282872859826,0.21,0.3057398266199359,,,,True
20260214,REL_IND_D6M_CDI_5Y,REL_IND_D6M_CDI_5Y.pdf,D6M,5Y,4.993839835728953,CDI,4,10/08/2020,08/08/2025,10/08/2020,08/08/2025,True,60.16,60.15999999999999,7.105427357601002e-15,True,9.92,9.92,0.0,True,0.11,0.11,0.0,True,0.25,1.1870050478437562,-0.0,0.0,,,,True
20260214,REL_IND_D6M_IBOV_5Y,REL_IND_D6M_IBOV_5Y.pdf,D6M,5Y,4.993839835728953,IBOV,4,10/08/2020,08/08/2025,10/08/2020,08/08/2025,True,31.39,31.39,0.0,True,5.68,5.680000000000001,-8.881784197001252e-16,True,-11.5,-11.5,0.0,True,18.37,18.27197038196331,-0.24,-0.1260906731740227,,,,True
20260214,REL_IND_D6M_PB_5Y,REL_IND_D6M_PB_5Y.pdf,D6M,5Y,4.993839835728953,PB,5,10/08/2020,08/08/2025,10/08/2020,08/08/2025,True,92.55,92.55,0.0,True,14.18,14.180000000000001,-1.7763568394002505e-15,True,-8.82,-8.82,0.0,True,17.99,18.31636586118152,0.23,0.2877231470450582,,,,True
20260214,REL_IND_D6M_CDI_25Y,REL_IND_D6M_CDI_25Y.pdf,D6M,25Y,24.99383983572895,CDI,3,10/08/2000,08/08/2025,10/08/2000,08/08/2025,True,1565.46,1565.46,0.0,True,11.95,11.95,0.0,True,0.13,0.13,0.0,True,0.27,1.2836658780145,0.0,0.0,,,,True
20260214,REL_IND_D6M_IBOV_25Y,REL_IND_D6M_IBOV_25Y.pdf,D6M,25Y,24.99383983572895,IBOV,3,10/08/2000,08/08/2025,10/08/2000,08/08/2025,True,707.37,707.37,0.0,True,8.87,8.87,0.0,True,-29.9,-29.9,0.0,True,26.96,23.72960619576271,-0.12,-0.002807211695864723,,,,True
20260214,REL_IND_D6M_PB_25Y,REL_IND_D6M_PB_25Y.pdf,D6M,25Y,24.99383983572895,PB,5,10/08/2000,08/08/2025,10/08/2000,08/08/2025,True,3958.77,3958.77,0.0,True,16.26,16.259999999999998,3.552713678800501e-15,True,-27.36,-27.36,0.0,True,24.2,22.601662299140422,0.17,0.2730963508781857,,,,True
20260214,REL_IND_D12M_CDI_5Y,REL_IND_D12M_CDI_5Y.pdf,D12M,5Y,5.002053388090349,CDI,4,10/02/2020,10/02/2025,10/02/2020,10/02/2025,True,52.36,52.35999999999999,7.105427357601002e-15,True,8.81,8.81,0.0,True,0.13,0.13,0.0,True,0.26,1.237867547669689,-0.0,0.0,,,,True
20260214,REL_IND_D12M_IBOV_5Y,REL_IND_D12M_IBOV_5Y.pdf,D12M,5Y,5.002053388090349,IBOV,4,10/02/2020,10/02/2025,10/02/2020,10/02/2025,True,11.55,11.55,0.0,True,2.24,2.2399999999999998,4.440892098500626e-16,True,-29.9,-29.9,0.0,True,,23.9382831464581,-0.26,-0.131468272238135,,,,True
20260214,REL_IND_D12M_PB_5Y,REL_IND_D12M_PB_5Y.pdf,D12M,5Y,5.002053388090349,PB,5,10/02/2020,10/02/2025,10/02/2020,10/02/2025,True,51.32,51.32,0.0,True,8.74,8.74,0.0,True,-26.36,-26.36,0.0,True,24.43,22.258788722880592,-0.01,0.1083124907778987,,,,True
20260214,REL_IND_D12M_CDI_25Y,REL_IND_D12M_CDI_25Y.pdf,D12M,25Y,25.00205338809035,CDI,3,10/02/2000,10/02/2025,10/02/2000,10/02/2025,True,1594.25,1594.25,0.0,True,12.03,12.030000000000001,-1.7763568394002505e-15,True,0.13,0.13,0.0,True,0.28,1.300029245773767,-0.0,0.0,,,,True
20260214,REL_IND_D12M_IBOV_25Y,REL_IND_D12M_IBOV_25Y.pdf,D12M,25Y,25.00205338809035,IBOV,3,10/02/2000,10/02/2025,10/02/2000,10/02/2025,True,575.01,575.01,0.0,True,8.08,8.08,0.0,True,-29.9,-29.9,0.0,True,27.29,23.992991553667338,-0.15,-0.03297104180929284,,,,True
20260214,REL_IND_D12M_PB_25Y,REL_IND_D12M_PB_25Y.pdf,D12M,25Y,25.00205338809035,PB,5,10/02/2000,10/02/2025,10/02/2000,10/02/2025,True,3984.78,3984.7799999999997,4.547473508864641e-13,True,16.29,16.29,0.0,True,-28.25,-28.249999999999996,-3.552713678800501e-15,True,24.4,23.1020672967174,0.17,0.2707013810991262,,,,True
20260214,REL_IND_D6M_SP500_TR_15Y,REL_IND_D6M_SP500_TR_15Y.pdf,D6M,15Y,14.99520876112252,SP500_TR,4,10/08/2010,08/08/2025,10/08/2010,08/08/2025,True,2234.51,2234.5099999999998,4.547473508864641e-13,True,23.42,23.419999999999998,3.552713678800501e-15,True,-13.49,-13.489999999999998,-1.7763568394002505e-15,True,19.98,16.72544322211101,0.69,0.7880390673018877,,,,True
20260214,REL_IND_D6M_IBOV_15Y,REL_IND_D6M_IBOV_15Y.pdf,D6M,15Y,14.99520876112252,IBOV,4,10/08/2010,08/08/2025,10/08/2010,08/08/2025,True,102.18,102.18,0.0,True,4.89,4.89,0.0,True,-29.9,-29.9,0.0,True,23.33,20.88348296910289,-0.21,-0.1068412113134137,,,,True
20260214,REL_IND_D0_SP500_PR_25Y,REL_IND_D0_SP500_PR_25Y.pdf,D0,25Y,24.99383983572895,SP500_PR,3,12/02/2001,10/02/2026,12/02/2001,10/02/2026,True,1270.09,1270.0900000000001,-2.2737367544323206e-13,True,11.06,11.06,0.0,True,-13.59,-13.59,0.0,True,21.58,16.70695849378207,-0.04,0.03505820335609929,,,,True
20260214,REL_IND_D0_PC_10Y,REL_IND_D0_PC_10Y.pdf,D0,10Y,10.00136892539357,PC,5,10/02/2016,10/02/2026,10/02/2016,10/02/2026,True,897.59,897.5900000000001,-1.1368683772161603e-13,True,26.25,26.25,0.0,True,-30.66,-30.659999999999997,-3.552713678800501e-15,True,28.78,28.18007223917211,0.58,0.6414227426559218,,,,True
20260214,REL_IND_D12M_SP500_TR_10Y,REL_IND_D12M_SP500_TR_10Y.pdf,D12M,10Y,10.00136892539357,SP500_TR,4,10/02/2015,10/02/2025,10/02/2015,10/02/2025,True,623.44,623.44,0.0,True,21.92,21.92,0.0,True,-13.49,-13.489999999999998,-1.7763568394002505e-15,True,21.08,17.79349836688197,0.6,0.6960858253460939,,,,True
20260214,REL_IND_D6M_PC_5Y,REL_IND_D6M_PC_5Y.pdf,D6M,5Y,4.993839835728953,PC,5,10/08/2020,08/08/2025,10/08/2020,08/08/2025,True,128.67,128.67,0.0,True,18.22,18.22,0.0,True,-10.06,-10.059999999999999,-1.7763568394002505e-15,True,20.98,21.25500249700152,0.39,0.4308104593158788,,,,True
20260214,REL_IND_D12M_SP500_PR_20Y,REL_IND_D12M_SP500_PR_20Y.pdf,D12M,20Y,20.08333333333333,SP500_PR,4,10/02/2005,10/02/2025,10/02/2005,10/02/2025,True,1021.55,1021.5500000000001,-1.1368683772161603e-13,True,12.87,12.870000000000001,-1.7763568394002505e-15,True,-13.59,-13.59,0.0,True,21.12,16.538759616973987,0.12,0.2113362669355829,,,,True
20260214,REL_IND_D6M_SP500_PR_10Y,REL_IND_D6M_SP500_PR_10Y.pdf,D6M,10Y,9.995893223819301,SP500_PR,4,10/08/2015,08/08/2025,10/08/2015,08/08/2025,True,371.93,371.93,0.0,True,16.82,16.82,0.0,True,-13.59,-13.59,0.0,True,21.51,17.37798533245082,0.35,0.460154901569753,,,,True
20260214,REL_IND_D12M_SP500_PR_15Y,REL_IND_D12M_SP500_PR_15Y.pdf,D12M,15Y,15.00068446269678,SP500_PR,4,10/02/2010,10/02/2025,10/02/2010,10/02/2025,True,1676.34,1676.3400000000001,-2.2737367544323206e-13,True,21.18,21.18,0.0,True,-13.59,-13.59,0.0,True,19.68,16.52746954101255,0.6,0.6930214263959203,,,,True
20260214,REL_IND_D6M_PC_15Y,REL_IND_D6M_PC_15Y.pdf,D6M,15Y,14.99520876112252,PC,5,10/08/2010,08/08/2025,10/08/2010,08/08/2025,True,407.78,407.78,0.0,True,11.64,11.64,0.0,True,-32.7,-32.7,0.0,True,24.32,22.823452249751462,0.08,0.1897128970709921,,,,True
20260214,REL_IND_D0_PA_15Y,REL_IND_D0_PA_15Y.pdf,D0,15Y,15.00068446269678,PA,5,10/02/2011,10/02/2026,10/02/2011,10/02/2026,True,488.76,488.76,0.0,True,12.76,12.76,0.0,True,-23.3,-23.3,0.0,True,20.86,18.955762876357092,0.14,0.2286194908738968,,,,True
20260214,REL_IND_D0_CDI_10Y,REL_IND_D0_CDI_10Y.pdf,D0,10Y,10.00136892539357,CDI,4,10/02/2016,10/02/2026,10/02/2016,10/02/2026,True,144.62,144.62,0.0,True,9.38,9.38,0.0,True,0.13,0.13,0.0,True,0.24,1.137912834902002,-0.0,0.0,,,,True
