bundle_version,cut,window,PA__total_return,PA__cagr,PA__start_date,PA__end_date,PA__years,PA__report_id,PA__pdf_md5,PB__total_return,PB__cagr,PB__start_date,PB__end_date,PB__years,PB__report_id,PB__pdf_md5,PC__total_return,PC__cagr,PC__start_date,PC__end_date,PC__years,PC__report_id,PC__pdf_md5,CDI__total_return,CDI__cagr,CDI__start_date,CDI__end_date,CDI__years,CDI__report_id,CDI__pdf_md5,IBOV__total_return,IBOV__cagr,IBOV__start_date,IBOV__end_date,IBOV__years,IBOV__report_id,IBOV__pdf_md5,SP500_PR__total_return,SP500_PR__cagr,SP500_PR__start_date,SP500_PR__end_date,SP500_PR__years,SP500_PR__report_id,SP500_PR__pdf_md5,SP500_TR__total_return,SP500_TR__cagr,SP500_TR__start_date,SP500_TR__end_date,SP500_TR__years,SP500_TR__report_id,SP500_TR__pdf_md5
v13b1,D0,5Y,1.3831,0.1917,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_PA_5Y,b706815c50934790953b6b7c2593a21d,1.5418,0.2073,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_PB_5Y,d76de080aaecee57b6f1439c7c057e7c,1.4403,0.1974,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_PC_5Y,36b080a4c2e53e43e180613566382947,0.7034,0.1127,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_CDI_5Y,0d3e69f7d55cde28129f53cb7be32215,0.5699,0.0953,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_IBOV_5Y,52dfb2afb60c5760e7b516db88d68867,0.7096,0.1136,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_SP500_PR_5Y,caa3fffcdbd764985f80777c47f6d6bd,0.8393,0.1301,2021-02-10,2026-02-10,4.99931553730322,REL_IND_D0_SP500_TR_5Y,376da51be0c8d81d147708f9fe3123e4
v13b1,D0,10Y,7.6545,0.2444,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_PA_10Y,f5b32381ac48d557d490551cf12bb114,9.0966,0.264,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_PB_10Y,ad526b56a4c0514658ea40c68777dfd3,8.9759,0.2625,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_PC_10Y,06d7379ad8829de6d61ff04c71b16b1b,1.4462,0.0938,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_CDI_10Y,85a1f4e0ee93b40ec1902e40bd59870b,3.6049,0.1674,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_IBOV_10Y,617a48f47a414360a69b1ff67b636ebb,3.9478,0.1738,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_SP500_PR_10Y,184364bc00ac4e173a652787ac5f98a4,4.8757,0.1941,2016-02-10,2026-02-10,10.0013689253936,REL_IND_D0_SP500_TR_10Y,c49af0b6efa367482391ecbfcf79b7d0
v13b1,D0,15Y,4.8876,0.1276,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_PA_15Y,03e2a96579e71062beebc4a09f5570a8,6.2777,0.1439,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_PB_15Y,7ae63fe65b1dfb85f415c4cbc3b3df0a,4.8131,0.1266,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_PC_15Y,a25080422ffea70dc0b71e087a12adf8,3.0191,0.0975,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_CDI_15Y,9127f769c1b62ea46bb4f37a8ae7c109,1.8792,0.0742,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_IBOV_15Y,cbbeb5b027c3c616e1b0612bb205265a,15.3782,0.2054,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_SP500_PR_15Y,4e122cccaeab6e4e7d2c8b946ebd5222,20.6433,0.228,2011-02-10,2026-02-10,15.0006844626968,REL_IND_D0_SP500_TR_15Y,30422235098e0a9881a0432d255f6863
v13b1,D0,20Y,9.0937,0.1248,2006-02-10,2026-02-10,20,REL_IND_D0_PA_20Y,0c8ca63b4b3a9826c254545113d1f716,13.83,0.1471,2006-02-10,2026-02-10,20,REL_IND_D0_PB_20Y,d101dec0ae146ce329baa8fe3080ed95,9.7562,0.1285,2006-02-10,2026-02-10,20,REL_IND_D0_PC_20Y,86c1e6a5635c253dec4e9e0e718b7787,5.9562,0.1022,2006-02-10,2026-02-10,20,REL_IND_D0_CDI_20Y,3cac5345742a54c8417b139690191682,4.0285,0.0856,2006-02-10,2026-02-10,20,REL_IND_D0_IBOV_20Y,89e857dcb1841b55ad5a45af62c6718e,12.2107,0.138,2006-02-10,2026-02-10,20,REL_IND_D0_SP500_PR_20Y,d0fa261537795d6ddad2bee0e8607d47,18.404,0.1601,2006-02-10,2026-02-10,20,REL_IND_D0_SP500_TR_20Y,3b5268c34d62c89c85e40e90a4a9ca3a
v13b1,D0,25Y,50.3547,0.1737,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_PA_25Y,9adc6e19130c0abbdf141295d3342383,47.4332,0.1709,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_PB_25Y,8370fe27a5cbcc9ffc19cced0ef50535,52.0951,0.1753,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_PC_25Y,f559513b12a697f9f66fa7f2dafef8f4,15.593,0.1193,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_CDI_25Y,7ee3557f295ebd537ee6fb6f69006e58,9.9907,0.1024,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_IBOV_25Y,c54c198e8d9679e91c6ad765509e574b,12.7009,0.1106,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_SP500_PR_25Y,222dbc343cbbc6ca228062e4ea8ce6d6,20.886,0.1317,2001-02-12,2026-02-10,24.9938398357289,REL_IND_D0_SP500_TR_25Y,831ce9f840498d97c529660bce110e83
v13b1,D6M,5Y,1.1385,0.1663,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_PA_5Y,5a9857d023d51d280d7f7819f23101ef,0.9255,0.1418,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_PB_5Y,636781bdee218d57b018e9821637e921,1.2867,0.1822,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_PC_5Y,fe38e3e96b45b762574319bcbf921572,0.6016,0.0992,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_CDI_5Y,92538f38e0e1b3308e28103a39dac812,0.3139,0.0568,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_IBOV_5Y,f1610e6e367115f79b4b5475d1e67046,0.9127,0.139,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_SP500_PR_5Y,5ecea398dcc95f7d4ec1d583cbe8c834,1.0619,0.1563,2020-08-10,2025-08-08,4.99383983572895,REL_IND_D6M_SP500_TR_5Y,82f8895a811d43819c7fd9e2c3631482
v13b1,D6M,10Y,3.3273,0.1604,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_PA_10Y,8fd01e03fbc45c586d7cd0fd474ff9b9,4.461,0.1882,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_PB_10Y,aaa6e571aba92c6d2e2cfe57fb9b4807,4.2033,0.1824,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_PC_10Y,560aaa008f7a72733afec23440775f02,1.4327,0.0934,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_CDI_10Y,1a7debddb296fcd6a8788e327f7300eb,1.7539,0.1084,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_IBOV_10Y,6d7ac4172cf2de723e2173ef94dc2185,3.7193,0.1682,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_SP500_PR_10Y,6fe69615ed5327bfa11597ed2fd5af92,4.6334,0.1891,2015-08-10,2025-08-08,9.9958932238193,REL_IND_D6M_SP500_TR_10Y,ec43ba7f3731877478c122026eb0fdbc
v13b1,D6M,15Y,3.855,0.113,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_PA_15Y,90d670a330106369c71af3ce96ae89f9,4.5425,0.123,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_PB_15Y,92a00e5384fbfa0052cfe15d7b4ec835,4.0778,0.1164,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_PC_15Y,6d8975f7984f4c2b23e826360f66a5da,2.9415,0.0960999999999999,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_CDI_15Y,ccca1a14fe40096a036d36b18def62a0,1.0218,0.0489,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_IBOV_15Y,3d8718d042af88105647897a42bd976e,16.5933,0.2111,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_SP500_PR_15Y,762473e2bc0d7a509b6b0755153e7b85,22.3451,0.2342,2010-08-10,2025-08-08,14.9952087611225,REL_IND_D6M_SP500_TR_15Y,76a0c9634a4ed90ccd7a5a7ea7bf3eaa
v13b1,D6M,20Y,9.9264,0.1294,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_PA_20Y,d1204c8cd2caeaa85df0515338b3a379,14.3257,0.149,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_PB_20Y,77ec065439eeffa080d8b21148f17dc4,11.3718,0.1366,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_PC_20Y,193fa6ccbeeeca1f4148bb023bab60e7,6.0677,0.1031,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_CDI_20Y,94b12a8d0ca9151124089809f069ceef,4.0121,0.0855,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_IBOV_20Y,344c7d34de0bdc4f2019a427e5113b3a,11.3877,0.1344,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_SP500_PR_20Y,1d90a512cee50d0e84085fe60ea46b8f,17.254,0.1566,2005-08-10,2025-08-08,19.9945242984257,REL_IND_D6M_SP500_TR_20Y,57b474fcd3ef2ede22dbef7e055225c8
v13b1,D6M,25Y,47.1073,0.1707,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_PA_25Y,e2fab8bad9602fe13bcaf3c1d5d222be,39.5877,0.1626,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_PB_25Y,05e46c69ca303ea4466dab80f248c583,46.9809,0.1706,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_PC_25Y,f7e1f98c7151301a043d8394278fe1aa,15.6546,0.1195,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_CDI_25Y,0653dc20d5940e424b86e57374d4575f,7.0737,0.0886999999999999,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_IBOV_25Y,2da2d9277a8923c2519f351c0ce1b4bf,12.2164,0.109,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_SP500_PR_25Y,64621472170ce5ee36fd83cdb8353848,20.0997,0.13,2000-08-10,2025-08-08,24.9938398357289,REL_IND_D6M_SP500_TR_25Y,01c80d91eb7c6797446a0704339b69ad
v13b1,D12M,5Y,0.7516,0.12,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_PA_5Y,ee2b7d0278ba9b5f8bfb150f0fc3eacc,0.5132,0.0874,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_PB_5Y,c1e59fe4a612b1f7b700f1528ab3569b,0.808,0.1272,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_PC_5Y,b0346972a520d9e903650acbbea40d08,0.5236,0.0881,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_CDI_5Y,2112d3c644afc5b78e55f7b167200897,0.1155,0.0224,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_IBOV_5Y,4b40692dc34b741a72d2890eaaf1176d,1.422,0.1939,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_SP500_PR_5Y,5f056f2c9e0fcef167da833a71bad6f6,1.6193,0.2127,2020-02-10,2025-02-10,5.00205338809035,REL_IND_D12M_SP500_TR_5Y,2451ee4b2089112fbb6e9f95301782ff
v13b1,D12M,10Y,3.5451,0.1663,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_PA_10Y,d55a16d77ebf8e9c6b613adf0d7b4af2,4.3979,0.1869,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_PB_10Y,171c5c1be54ff48a3d05793914a2de95,4.34,0.1856,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_PC_10Y,df70e947b34497ae282c3f9c72d28bb8,1.4201,0.0928,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_CDI_10Y,2aa64806d8cdfbf69839ff7d9f45ec4e,1.5886,0.1015,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_IBOV_10Y,4abc0fd3b025afcba29a17cd64bb926a,5.0385,0.1973,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_SP500_PR_10Y,ac69f7bf0312c00cd213a67d1a09ccc4,6.2344,0.2192,2015-02-10,2025-02-10,10.0013689253936,REL_IND_D12M_SP500_TR_10Y,26d28726f8bf753cd882ec0214a07b5e
v13b1,D12M,15Y,3.6221,0.1093,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_PA_15Y,dc5ed8a9b9286a9bbb6c249648f4e2f8,3.9533,0.1145,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_PB_15Y,6314dc58de5a65be69ac7075ab64bcda,4.1208,0.117,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_PC_15Y,826e24276e065bfff538e19faa869694,2.8595,0.0944999999999999,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_CDI_15Y,445e926a1754e3bd09eb13b2730d90ff,0.9303,0.0455999999999999,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_IBOV_15Y,65d336cbe5b48c7a5c5a8bfca5803ca8,16.7634,0.2118,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_SP500_PR_15Y,ddcc1fde6e75811c7d0aba6a77d342b7,22.6425,0.2352,2010-02-10,2025-02-10,15.0006844626968,REL_IND_D12M_SP500_TR_15Y,5eb98f1c64dd574a3764343adb08c016
v13b1,D12M,20Y,10.8333,0.1339,2005-02-10,2025-02-10,20,REL_IND_D12M_PA_20Y,4aec2e6d0d3295cb4022f9136926fe9a,12.8768,0.1431,2005-02-10,2025-02-10,20,REL_IND_D12M_PB_20Y,dc07efc12c991605f7fc5d39498b13dd,11.8809,0.1388,2005-02-10,2025-02-10,20,REL_IND_D12M_PC_20Y,d64cd00d3677d1f354aa0b1bf0cabde6,6.2345,0.1044,2005-02-10,2025-02-10,20,REL_IND_D12M_CDI_20Y,cac1cc6224d7d97dde36b41196cabba1,3.7537,0.0825,2005-02-10,2025-02-10,20,REL_IND_D12M_IBOV_20Y,ac731b7dbb35b26928613ea83390f120,10.2155,0.1287,2005-02-10,2025-02-10,20.0833333333333,REL_IND_D12M_SP500_PR_20Y,5e3bfe2cf66bedad5747ee5fc1cbb02c,15.5679,0.151,2005-02-10,2025-02-10,20.0833333333333,REL_IND_D12M_SP500_TR_20Y,c0e569fdc7d0d40fd5fb090494b22662
v13b1,D12M,25Y,50.279,0.1737,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_PA_25Y,c178d1adce59e2cde4530f95ff0aa7a9,39.8478,0.1629,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_PB_25Y,683a1a5b06e1c25318aeef7ae2d59b35,51.1247,0.1745,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_PC_25Y,38fef849472cd05263559b504ee5e08b,15.9425,0.1203,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_CDI_25Y,bbd31a6d9b91bba75fe8f96d01bc249b,5.7501,0.0808,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_IBOV_25Y,a285db8170fdea5427600941a428c83c,21.317,0.1325,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_SP500_PR_25Y,a7d9e6393549d5cfc921eebfbd678acd,21.317,0.1325,2000-02-10,2025-02-10,25.0020533880903,REL_IND_D12M_SP500_TR_25Y,d4a43cfac06ea4921dc2feaaff899fee
