window,series,start_date_D0,end_date_D0,start_date_D6M,end_date_D6M,start_date_D12M,end_date_D12M,total_return_%_D0,total_return_%_D6M,total_return_%_D12M,total_return_range_pp,total_return_delta_D0_minus_D6M_pp,total_return_delta_D0_minus_D12M_pp,cagr_%_D0,cagr_%_D6M,cagr_%_D12M,cagr_range_pp,cagr_delta_D0_minus_D6M_pp,cagr_delta_D0_minus_D12M_pp,rank_total_return_D0,rank_total_return_D6M,rank_total_return_D12M,rank_cagr_D0,rank_cagr_D6M,rank_cagr_D12M
10Y,CDI,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,144.62,143.27,142.01,2.6100000000000136,1.3499999999999943,2.6100000000000136,9.38,9.34,9.28,0.1000000000000014,0.0400000000000009,0.1000000000000014,7,7,7,7,7,7
10Y,IBOV,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,360.49,175.39,158.86,201.63,185.1,201.63,16.74,10.84,10.15,6.589999999999998,5.899999999999999,6.589999999999998,6,6,6,6,6,6
10Y,PA,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,765.45,332.73,354.51,432.72,432.72,410.94000000000005,24.44,16.04,16.63,8.400000000000002,8.400000000000002,7.810000000000002,3,5,5,3,5,5
10Y,PB,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,909.66,446.1,439.79,469.87,463.56,469.87,26.4,18.82,18.69,7.709999999999997,7.579999999999998,7.709999999999997,1,2,3,1,2,3
10Y,PC,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,897.59,420.33,434.0,477.2600000000001,477.2600000000001,463.59,26.25,18.24,18.56,8.010000000000002,8.010000000000002,7.690000000000001,2,3,4,2,3,4
10Y,SP500_PR,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,394.78,371.93,503.85,131.92000000000002,22.84999999999997,-109.07000000000004,17.38,16.82,19.73,2.91,0.5599999999999987,-2.3500000000000014,5,4,2,5,4,2
10Y,SP500_TR,2016-02-10,2026-02-10,2015-08-10,2025-08-08,2015-02-10,2025-02-10,487.57,463.34,623.44,160.10000000000008,24.230000000000015,-135.87000000000006,19.41,18.91,21.92,3.0100000000000016,0.5,-2.5100000000000016,4,1,1,4,1,1
15Y,CDI,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,301.91,294.15,285.95,15.960000000000036,7.760000000000048,15.960000000000036,9.75,9.61,9.45,0.3000000000000007,0.1400000000000005,0.3000000000000007,6,6,6,6,6,6
15Y,IBOV,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,187.92,102.18,93.03,94.89,85.73999999999998,94.89,7.42,4.89,4.56,2.8600000000000003,2.53,2.8600000000000003,7,7,7,7,7,7
15Y,PA,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,488.76,385.5,362.21,126.55,103.26,126.55,12.76,11.3,10.93,1.83,1.459999999999999,1.83,4,5,5,4,5,5
15Y,PB,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,627.77,454.25,395.33,232.44,173.51999999999998,232.44,14.39,12.3,11.45,2.9400000000000013,2.09,2.9400000000000013,3,3,4,3,3,4
15Y,PC,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,481.31,407.78,412.08,73.53000000000003,73.53000000000003,69.23000000000002,12.66,11.64,11.7,1.0199999999999996,1.0199999999999996,0.9600000000000009,5,4,3,5,4,3
15Y,SP500_PR,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,1537.82,1659.33,1676.34,138.51999999999998,-121.51,-138.51999999999998,20.54,21.11,21.18,0.6400000000000006,-0.5700000000000003,-0.6400000000000006,2,2,2,2,2,2
15Y,SP500_TR,2011-02-10,2026-02-10,2010-08-10,2025-08-08,2010-02-10,2025-02-10,2064.33,2234.51,2264.25,199.92000000000007,-170.1800000000003,-199.92000000000007,22.8,23.42,23.52,0.7199999999999989,-0.620000000000001,-0.7199999999999989,1,1,1,1,1,1
20Y,CDI,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,595.62,606.77,623.45,27.83000000000004,-11.149999999999975,-27.83000000000004,10.22,10.31,10.44,0.2199999999999988,-0.0899999999999998,-0.2199999999999988,6,6,6,6,6,6
20Y,IBOV,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,402.85,401.21,375.37,27.480000000000015,1.6400000000000432,27.480000000000015,8.56,8.55,8.25,0.3100000000000005,0.0099999999999997,0.3100000000000005,7,7,7,7,7,7
20Y,PA,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,909.37,992.64,1083.33,173.95999999999992,-83.26999999999998,-173.95999999999992,12.48,12.94,13.39,0.91,-0.4599999999999991,-0.91,5,5,4,5,5,4
20Y,PB,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,1383.0,1432.57,1287.68,144.88999999999987,-49.569999999999936,95.31999999999994,14.71,14.9,14.31,0.5899999999999999,-0.1899999999999995,0.4000000000000003,2,2,2,2,2,2
20Y,PC,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,975.62,1137.18,1188.09,212.4699999999999,-161.56000000000006,-212.4699999999999,12.85,13.66,13.88,1.0300000000000011,-0.8100000000000005,-1.0300000000000011,4,4,3,4,3,3
20Y,SP500_PR,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,1221.07,1138.77,1021.55,199.52,82.29999999999995,199.52,13.8,13.44,12.87,0.9300000000000016,0.3600000000000012,0.9300000000000016,3,3,5,3,4,5
20Y,SP500_TR,2006-02-10,2026-02-10,2005-08-10,2025-08-08,2005-02-10,2025-02-10,1840.4,1725.4,1556.79,283.6100000000001,115.0,283.6100000000001,16.01,15.66,15.1,0.910000000000002,0.3500000000000014,0.910000000000002,1,1,1,1,1,1
25Y,CDI,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,1559.3,1565.46,1594.25,34.950000000000045,-6.160000000000082,-34.950000000000045,11.93,11.95,12.03,0.0999999999999996,-0.0199999999999995,-0.0999999999999996,5,5,6,5,5,6
25Y,IBOV,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,999.07,707.37,575.01,424.06000000000006,291.70000000000005,424.06000000000006,10.24,8.87,8.08,2.16,1.370000000000001,2.16,7,7,7,7,7,7
25Y,PA,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,5035.47,4710.73,5027.9,324.7400000000007,324.7400000000007,7.570000000000618,17.37,17.07,17.37,0.3000000000000007,0.3000000000000007,0.0,2,1,2,2,1,2
25Y,PB,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,4743.32,3958.77,3984.78,784.5499999999997,784.5499999999997,758.5399999999995,17.09,16.26,16.29,0.8299999999999983,0.8299999999999983,0.8000000000000007,3,3,3,3,3,3
25Y,PC,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,5209.51,4698.09,5112.47,511.4200000000001,511.4200000000001,97.03999999999996,17.53,17.06,17.45,0.4700000000000024,0.4700000000000024,0.0800000000000018,1,2,1,1,2,1
25Y,SP500_PR,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,1270.09,1221.64,2131.7,910.0599999999996,48.44999999999982,-861.6099999999999,11.06,10.9,13.25,2.35,0.1600000000000001,-2.1899999999999995,6,6,4,6,6,4
25Y,SP500_TR,2001-02-12,2026-02-10,2000-08-10,2025-08-08,2000-02-10,2025-02-10,2088.6,2009.97,2131.7,121.7299999999998,78.62999999999988,-43.09999999999991,13.17,13.0,13.25,0.25,0.1699999999999999,-0.08,4,4,4,4,4,4
5Y,CDI,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,70.34,60.16,52.36,17.980000000000004,10.180000000000009,17.980000000000004,11.27,9.92,8.81,2.459999999999999,1.3499999999999996,2.459999999999999,6,6,5,6,6,5
5Y,IBOV,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,56.99,31.39,11.55,45.44,25.6,45.44,9.53,5.68,2.24,7.289999999999999,3.85,7.289999999999999,7,7,7,7,7,7
5Y,PA,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,138.31,113.85,75.16,63.150000000000006,24.460000000000008,63.150000000000006,19.17,16.63,12.0,7.170000000000002,2.5400000000000027,7.170000000000002,3,2,4,3,2,4
5Y,PB,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,154.18,92.55,51.32,102.86,61.63000000000001,102.86,20.73,14.18,8.74,11.99,6.550000000000001,11.99,1,4,6,1,4,6
5Y,PC,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,144.03,128.67,80.8,63.23,15.360000000000014,63.23,19.74,18.22,12.72,7.019999999999998,1.5199999999999996,7.019999999999998,2,1,3,2,1,3
5Y,SP500_PR,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,70.96,91.27,142.2,71.24,-20.31,-71.24,11.36,13.9,19.39,8.030000000000001,-2.540000000000001,-8.030000000000001,5,5,2,5,5,2
5Y,SP500_TR,2021-02-10,2026-02-10,2020-08-10,2025-08-08,2020-02-10,2025-02-10,83.93,106.19,161.93,78.0,-22.25999999999999,-78.0,13.01,15.63,21.27,8.26,-2.620000000000001,-8.26,4,3,1,4,3,1
